ITEM_ID,TITLE,YEAR,PLOT,US_MATURITY_RATING_STRING,US_MATURITY_RATING,GENRES,CREATION_TIMESTAMP,PROMOTION
tt0906325,Bagboy,2007,A teenager enters the competitive world of grocery store bagging.,PG-13,13,Comedy,1167609600,FALSE
tt0906665,Sukiyaki Western Django,2007,"A nameless gunfighter arrives in a town ripped apart by rival gangs and, though courted by both to join, chooses his own path.",R,17,Action|Western,1167609600,FALSE
tt0907657,Once,2007,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",R,17,Drama|Music|Romance,1167609600,FALSE
tt0910905,In the Electric Mist,2009,"A detective in post-Katrina New Orleans has a series of surreal encounters with a troop of friendly Confederate soldiers while investigating serial killings of local prostitutes, a 1965 lynching, and corrupt local businessmen.",R,17,Crime|Drama|Mystery|Thriller,1230768000,FALSE
tt0910554,Frequently Asked Questions About Time Travel,2009,"While drinking at their local pub, three social outcasts attempt to navigate a time-travel conundrum.",PG-13,13,Comedy|Sci-Fi,1230768000,FALSE
tt0910885,A Merry Friggin' Christmas,2014,"Boyd Mitchler and his family must spend Christmas with his estranged family of misfits. Upon realizing that he left all his son's gifts at home, he hits the road with his dad in an attempt to make the 8-hour round trip before sunrise.",PG-13,13,Comedy|Drama,1388534400,FALSE
tt0910812,Tin Man,2007,"A re-imagining of L. Frank Baum's classic ""The Wizard of Oz"".",TV-PG,8,Adventure|Fantasy|Sci-Fi|Western,1167609600,FALSE
tt0910847,Breakfast with Scot,2007,"The hockey career of former Toronto Maple Leaf Eric McNally, who was known as a tough enforcer, came to an end with a shoulder injury. He is now a sportscaster. Except to his assistant Nula, what he hasn't told his work colleagues is that he is gay and that he is in a long term relationship with a sports lawyer named Sam. Eric feels that he can't be openly gay as an ex-hockey player or as a public figure still associated with professional hockey. Eric and Sam's life is turned upside down when they take temporary custody of Scot Latour, whose drug addict mother, Julie, recently passed away from a drug overdose. Julie assigned custody of Scot to her ex-boyfriend, Billy, who is Sam's deadbeat brother. Sam is certain that Billy will eventually come for Scot when he learns that Julie's insurance money also comes with custody. Having only had Julie's influence in his life, Scot is a flamboyant adolescent, who wears make-up, a feather boa and his mother's charm bracelet, and who loves musicals and singing Christmas carols. As they all wait for Billy's arrival, Eric, despite not being Scot's father, and Scot have to figure out how to come to terms with each other - Scot being a boy who expresses himself freely whatever the consequences, and Eric always being concerned about maintaining a macho exterior - within their temporary guardian/charge relationship.",PG-13,13,Comedy|Drama|Music|Romance|Sport,1167609600,FALSE
tt0910873,An Evening with Kevin Smith 2: Evening Harder,2006,In this second Q&A with Kevin Smith he now enters the homes of some of his fans in Toronto and London.,Unrated,18,Documentary|Comedy,1136073600,FALSE
tt0910970,WALL·E,2008,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",G,0,Animation|Adventure|Family|Sci-Fi,1199145600,FALSE
tt0910936,Pineapple Express,2008,A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.,R,17,Action|Comedy|Crime,1199145600,FALSE
tt0912593,No End in Sight,2007,A comprehensive look at the Bush Administration's conduct of the Iraq war and its occupation of the country.,Not Rated,18,Documentary|War,1167609600,FALSE
tt0912583,For the Bible Tells Me So,2007,An exploration of the intersection between religion and homosexuality in the U.S. and how the religious right has used its interpretation of the Bible to stigmatize the gay community.,Unrated,18,Documentary|Romance,1167609600,FALSE
tt0912599,War Dance,2007,Three children living in a displacement camp in northern Uganda compete in their country's national music and dance festival.,PG-13,13,Documentary|Music|War,1167609600,FALSE
tt0913445,YPF,2007,"On a Tuesday night, five couples have separate sexual adventures.",Not Rated,18,Comedy|Drama|Romance,1167609600,FALSE
tt0912592,My Kid Could Paint That,2007,A look at the work and surprising success of a four-year-old girl whose paintings have been compared to the likes of Picasso and has raked in hundreds of thousands of dollars.,PG-13,13,Documentary|Family|Mystery,1167609600,FALSE
tt0914798,The Boy in the Striped Pajamas,2008,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",PG-13,13,Drama|War,1199145600,FALSE
tt0165623,Angst,1983,A troubled man gets released from prison and starts taking out his sadistic fantasies on an unsuspecting family living in a secluded house.,Not Rated,18,Drama|Horror|Thriller,410227200,FALSE
tt0165832,Interstate 60: Episodes of the Road,2002,"Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl.",R,17,Adventure|Comedy|Drama|Fantasy,1009843200,FALSE
tt0165982,Sinbad: Legend of the Seven Seas,2003,"The sailor of legend is framed by the goddess Eris for the theft of the Book of Peace, and must travel to her realm at the end of the world to retrieve it and save the life of his childhood friend Prince Proteus.",PG,8,Animation|Adventure|Family|Fantasy,1041379200,FALSE
tt0172156,Bad Boys II,2003,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.,R,17,Action|Comedy|Crime|Thriller,1041379200,FALSE
tt0172493,"Girl, Interrupted",1999,Based on writer Susanna Kaysen's account of her 18-month stay at a mental hospital in the late 1960s.,R,17,Biography|Drama,915148800,FALSE
tt0196216,Small Time Crooks,2000,A loser of a crook and his wife strike it rich when a botched bank job's cover business becomes a spectacular success.,PG,8,Comedy|Crime,946684800,FALSE
tt0200849,My Best Fiend,1999,"In the 1950s, an adolescent Werner Herzog was transfixed by a film performance of the young Klaus Kinski. Years later, they would share an apartment where, in an unabated, forty-eight-hour fit of rage, Kinski completely destroyed the bathroom. From this chaos, a violent, love-hate, profoundly creative partnership was born. In 1972, Herzog cast Kinski in Aguirre, the Wrath of God (1972). Four more films would follow. In this personal documentary, Herzog traces the often violent ups and downs of their relationship, revisiting the various locations of their films and talking to the people they worked with.",Not Rated,18,Documentary|Biography,915148800,FALSE
tt0204626,The Watcher,2000,David is a serial killer of young women. Joel was in charge of catching him in LA. He moved to Chicago a broken man. So did David and sends him photos of his next victims 24 hours before the murders.,R,17,Crime|Drama|Mystery|Thriller,946684800,FALSE
